id,price,latitude,longitude,room_type,minimum_nights,number_of_reviews,availability_365
430683,695.0,30.33945,-97.76182,Entire home/apt,30,2,1
433996,104.0,30.26083,-97.77521,Entire home/apt,2,231,1
435211,82.0,30.271320000000003,-97.74776999999999,Private room,2,164,0
438411,200.0,30.266990000000003,-97.71361999999999,Entire home/apt,7,13,31
442720,329.0,30.2994,-97.79666,Entire home/apt,3,90,139
461404,102.0,30.32225,-97.7296,Entire home/apt,2,66,290
474901,599.0,30.25201,-97.78184,Entire home/apt,2,5,365
485360,139.0,30.2698,-97.72854,Entire home/apt,2,89,147
501861,243.0,30.25282,-97.74596,Entire home/apt,2,39,293
510168,257.0,30.34467,-97.86235,Entire home/apt,3,74,267
517378,250.0,30.208409999999997,-97.81879,Entire home/apt,1,0,0
517430,120.0,30.299609999999998,-97.73449000000001,Entire home/apt,2,102,155
521689,250.0,30.20097,-97.81404,Entire home/apt,2,18,8
522136,99.0,30.280040000000003,-97.74563,Entire home/apt,7,402,88
525231,110.0,30.33962,-97.73593000000001,Entire home/apt,2,70,193
528338,99.0,30.261640000000003,-97.76158000000001,Entire home/apt,14,452,12
540377,255.0,30.24945,-97.74613000000001,Entire home/apt,3,7,0
542124,100.0,30.27665,-97.71857,Private room,2,25,256
560094,300.0,30.249209999999998,-97.78566,Entire home/apt,2,55,328
563735,55.0,30.25132,-97.79406,Private room,30,1,365
577499,98.0,30.25783,-97.76449000000001,Entire home/apt,1,390,328
587572,106.0,30.2466,-97.76628000000001,Entire home/apt,2,158,217
592958,529.0,30.24373,-97.75394,Entire home/apt,2,39,38
602877,75.0,30.35994,-97.73144,Entire home/apt,30,5,317
603084,187.0,30.20283,-97.79705,Entire home/apt,30,86,232
607536,73.0,30.302670000000003,-97.67915,Private room,1,115,348
609427,95.0,30.2452,-97.76084,Entire home/apt,30,49,126
609618,70.0,30.300859999999997,-97.7152,Private room,2,28,365
620532,55.0,30.290770000000002,-97.71777,Entire home/apt,30,16,102
622495,117.0,30.28727,-97.75225,Entire home/apt,30,30,337
628034,164.0,30.27191,-97.71989,Entire home/apt,1,486,230
632659,168.0,30.282729999999997,-97.71701999999999,Entire home/apt,2,306,124
634224,150.0,30.36007,-97.76109,Entire home/apt,2,9,359
636996,95.0,30.28445,-97.77043,Entire home/apt,3,5,287
637480,190.0,30.279329999999998,-97.75131,Entire home/apt,3,11,0
642674,125.0,30.22072,-98.00721999999999,Entire home/apt,28,50,258
644051,649.0,30.24972,-97.73886999999999,Entire home/apt,2,26,322
646392,80.0,30.2438,-97.73968,Entire home/apt,4,653,316
649833,150.0,30.276640000000004,-97.7498,Entire home/apt,3,1,365
659787,236.0,30.25739,-97.72915,Entire home/apt,3,110,310
660425,139.0,30.251179999999998,-97.77234,Entire home/apt,2,134,141
662226,80.0,30.335140000000003,-97.72913,Entire home/apt,30,19,292
662245,493.0,30.268659999999997,-97.75176,Entire home/apt,5,2,0
664013,72.0,30.349290000000003,-97.85596,Private room,2,168,153
668301,249.0,30.24649,-97.75695999999999,Entire home/apt,2,156,0
673379,150.0,30.22437,-97.81647,Entire home/apt,3,56,362
676107,66.0,30.1539,-97.80285,Private room,1,253,0
683558,150.0,30.274820000000002,-97.79646,Entire home/apt,3,0,0
685361,150.0,30.2803,-97.75612,Entire home/apt,2,26,365
687675,275.0,30.35037,-97.75921,Entire home/apt,2,67,178
692220,54.0,30.236279999999997,-97.75248,Entire home/apt,30,62,285
693890,545.0,30.243170000000003,-97.74173,Entire home/apt,2,0,0
698373,250.0,30.256890000000002,-97.74658000000001,Private room,3,0,0
699018,154.0,30.310440000000003,-97.75424,Entire home/apt,3,40,127
699485,400.0,30.194540000000003,-97.78279,Entire home/apt,1,0,0
701159,225.0,30.281159999999996,-97.76066999999999,Entire home/apt,2,9,0
701300,150.0,30.372529999999998,-97.74474000000001,Entire home/apt,2,0,0
701392,228.0,30.30051,-97.74043,Entire home/apt,2,142,0
701948,150.0,30.22995,-97.70846999999999,Entire home/apt,2,11,365
702294,232.0,30.24758,-97.7384,Entire home/apt,3,31,348
702474,300.0,30.2307,-97.76556,Private room,1,0,0
702825,264.0,30.23573,-97.76233,Entire home/apt,3,180,272
704589,136.0,30.244390000000003,-97.72929,Entire home/apt,2,24,264
705858,168.0,30.24646,-97.74738,Entire home/apt,1,633,296
706950,150.0,30.28251,-97.77571,Entire home/apt,5,0,0
708582,109.0,30.26476,-97.6975,Entire home/apt,1,6,324
710276,233.0,30.24186,-97.77858,Entire home/apt,5,5,0
711149,150.0,30.39968,-97.91422,Entire home/apt,1,0,287
714115,500.0,30.23501,-97.78033,Entire home/apt,3,0,0
714922,65.0,30.24152,-97.76465,Entire home/apt,30,83,274
716119,149.0,30.33496,-97.65115,Entire home/apt,1,242,346
716447,84.0,30.199270000000002,-97.83096,Private room,1,0,365
716894,150.0,30.25685,-97.76661999999999,Entire home/apt,2,13,361
720315,150.0,30.246290000000002,-97.72886,Entire home/apt,2,76,235
720369,219.0,30.29444,-97.70331,Entire home/apt,2,68,229
723950,110.0,30.251240000000003,-97.72618,Entire home/apt,30,75,336
729271,150.0,30.23923,-97.76319000000001,Entire home/apt,4,8,0
